ProductProductionDefectRateStatisticalAnalysisTable-StatisticalArea,ProductProductionDefectRateStatisticalAnalysisTable-StatisticalArea.1,ProductProductionDefectRateStatisticalAnalysisTable-StatisticalArea.2,ProductProductionDefectRateStatisticalAnalysisTable,ProductProductionDefectRateStatisticalAnalysisTable-Date,ProductProductionDefectRateStatisticalAnalysisTable-BoardPositionNumber,ProductProductionDefectRateStatisticalAnalysisTable-Workstation,ProductProductionDefectRateStatisticalAnalysisTable-ProductMaterialNumber,ProductProductionDefectRateStatisticalAnalysisTable-Other,ProductProductionDefectRateStatisticalAnalysisTable-WorkOrder,ProductProductionDefectRateStatisticalAnalysisTable-ProductionQuantity,ProductProductionDefectRateStatisticalAnalysisTable-Defectivequantity,ProductProductionDefectRateStatisticalAnalysisTable-DefectRate,ProductProductionDefectRateStatisticalAnalysisTable-YieldRate
,Today's Date,,,2022/1/2,59-696,Functional Test,1.1.01.04.17942,Other 1,7M07FDD,8628,3,,
,,,,2022/1/3,59-696,AOI-B,1.1.01.04.17942,Other 2,7M08A16,12622,5,,
,,,,2022/1/4,59-696,AOI-T,1.1.01.04.17942,Other 3,7M08A16,3657,1,,
,Total Production Quantity,,,2022/1/4,91-013,Functional Test,1.1.01.04.19137,Other 4,7M08A11,911,5,,
,,,,2022/1/5,91-013,Functional Test,1.1.01.04.19137,Other 5,7M08A11,3257,6,,
,,,,2022/1/6,91-013,Functional Test,1.1.01.04.19137,Other6,7M08A11,3482,5,,
,Total Defective Quantity,,,2022/1/7,91-013,Functional Test,1.1.01.04.17942,Other7,7M08A16,1782,1,,
,,,,2022/1/7,91-013,Functional Test,1.1.01.04.19137,Other 8,7M08A11,3313,2,,
,,,,2022/1/8,91-013,Functional Test,1.1.01.04.19137,Other 9,7M08A11,3328,3,,
,Total Defect Rate,,,2022/1/8,91-013,Functional Test,1.1.01.04.19138,Other10,7M08A11,11,1,,
,,,,2022/1/9,91-013,Functional Test,1.1.01.04.19137,Other 11,7M08A11,3600,8,,
,,,,2022/1/9,91-013,Functional Test,1.1.01.04.19138,Other 12,7M08811,40,1,,
,Overall Yield Rate,,,2022/1/10,91-013,Functional Test,1.1.01.04.19137,Other 13,7M08A11,5631,8,,
,,,,2022/1/10,91-028,Functional Test,1.1.01.04.18680,Other 14,7M08014,890,5,,
,,,,2022/1/10,91-013,Functional Test,1.1.01.04.19138,Other 15,7M08811,9,1,,
