Name,Model,Unit,Value
Grooved wire,5.0,kg/km,0.016
Grooved wire,0.055,kg/km,0.019
Grooved wire,0.063,kg/km,0.024
Grooved wire,7.0,kg/km,2.9999
Grooved wire,8.0,kg/km,0.039
Grooved wire,8.999,kg/km,5.0
Grooved wire,0.1,kg/km,0.062
Grooved wire,0.11,kg/km,7.4999
Grooved wire,0.12,kg/km,8.8999
Grooved wire,0.14,kg/km,0.121
Grooved wire,0.16,kg/km,0.158
Grooved wire,0.179,kg/km,0.199
Grooved wire,0.2,kg/km,0.246
Grooved wire,0.22,kg/km,0.2979
Grooved wire,0.25,kg/km,0.385
Grooved wire,0.28,kg/km,0.4839
Grooved wire,,kg/km,0.555
Grooved wire,0.32,kg/km,0.631
Grooved wire,0.35,kg/km,0.754
Grooved wire,0.4,kg/km,0.9889
Grooved wire,0.45,kg/km,1.248
Grooved wire,0.5,kg/km,1.5389
Grooved wire,0.55,kg/km,1.868
Grooved wire,,kg/km,2.22
Grooved wire,0.63,kg/km,2.47
Grooved wire,0.7,kg/km,3.0209
Grooved wire,0.8,kg/km,3.948
Grooved wire,0.9,kg/km,4.993
Grooved wire,1.0,kg/km,6.1619
Grooved wire,1.1,kg/km,7.58
Grooved wire,1.2,kg/km,8.878
Grooved wire,1.4,kg/km,12.08
Grooved wire,1.6,kg/km,15.79
Grooved wire,1.8,kg/km,19.98
Grooved wire,2.0,kg/km,24.66
Grooved wire,2.2,kg/km,29.84
Grooved wire,2.5,kg/km,38.539
Grooved wire,2.8,kg/km,48.34
Grooved wire,,kg/km,55.49
Grooved wire,3.2,kg/km,63.13
Grooved wire,3.5,kg/km,75.519
Grooved wire,4.0,kg/km,98.67
Grooved wire,4.5,kg/km,124.8
Grooved wire,5.0,kg/km,154.2
Grooved wire,5.5,kg/km,186.5
Grooved wire,,kg/km,221.9
Grooved wire,6.299,kg/km,244.7
Grooved wire,7.0,kg/km,302.1
Grooved wire,8.0,kg/km,394.6
Grooved wire,9.0,kg/km,499.4
Grooved wire,10.0,kg/km,616.5
Grooved wire,11.0,kg/km,746.0
Grooved wire,12.0,kg/km,887.8
Grooved wire,14.0,kg/km,1208.1
Grooved wire,16.0,kg/km,1578.6
Note:,,,
"1. The theoretical weight in the table is calculated based on a density of 7.85g/cm³. For special alloy wires, the corresponding grade's density should be used when calculating the theoretical weight.",,,
